1986, 1978, 1980, 1994, 1984, 1978, 1990, 1988, 1996, 1988, 1978, 1986, 1982, 1982, 1982, 1974, 1971.02, 1942.78
2065.02, 2050.93, 1980, 1994, 2035.05, 2024.3, 1990, 1984, 1996, 1984, 1978, 1986, 1978, 1982, 1978, 1974, 1978, 1958.55
1986, 1974, 2032.17, 2027.84, 1984, 1987.96, 2029.97, 1984, 2012.04, 2024.93, 1969.15, 1975.51, 1983.08, 1954.13, 1974.48, 1960.36, 1925.91, 1950.27
2057.81, 2038.1, 1983.23, 2015.32, 2013.03, 1978, 2001.55, 2038.27, 1996, 1984, 1957.09, 1975.51, 1988.74, 1965.43, 1968.16, 1961.91, 1955.73, 1944.79
2022.76, 2030.91, 2027.04, 2005.78, 1994.65, 1981.11, 1990, 2018.74, 2011.7, 2012.9, 1978, 1963.21, 1991.53, 1974.7, 1974.48, 1974.97, 1978, 1978
2015, 2030.71, 2029.48, 2027.84, 2025.4, 2016.4, 2029.97, 1986.47, 2012.04, 2024.93, 1961.59, 1963.21, 1986.99, 1972.73, 1999.97, 1948.08, 1935.46, 1978
2039.15, 1994.02, 1982.69, 2036.5, 1984, 1987.96, 2029.97, 1966.07, 2012.6, 2005.71, 1978, 2008.3, 1983.08, 1982, 1986.44, 1959.08, 1922.06, 1958.55
2017.91, 1993.8, 1973.26, 1994, 2044.88, 1978, 2029.97, 2020.34, 1996, 1984, 1978, 1976, 1969.97, 1956.8, 1981.32, 1962.7, 1962.19, 1920.47
2068.9, 2047.98, 2044.04, 1995.75, 2015.26, 1978, 2020.19, 2020.34, 2006.34, 2012.9, 1999.79, 1975.51, 1971.98, 1956.13, 1938.79, 1969.14, 1937.92, 1994.24
2006.05, 1984.44, 1993.29, 1997.86, 2005.16, 2024.3, 1987.11, 1984, 2005.44, 1984, 1978, 1986, 1967.07, 1957.62, 1974.48, 1983.76, 1964.6, 1971.46
2024.61, 1973.35, 2007.85, 2003.54, 1998.15, 2034.26, 2000.85, 1984, 1996, 2003.94, 1975.22, 1975.51, 1978, 1986.7, 1978, 1960.36, 1978, 1959.1
2024.47, 2026.68, 2028.94, 1994, 1979.67, 1978, 2001.85, 2010.34, 2002.6, 2001.46, 1997.8, 1986, 1984.48, 1965.21, 1971.5, 1960.36, 1925.52, 1951.07
1987.44, 2018.7, 1980, 2018.3, 1984, 2028.09, 2021.45, 2039.87, 1986, 2017.02, 1969.15, 1981.78, 1978, 1980.92, 1978, 1965.18, 1978, 1994.24
