13, 1, 0.462445, 2.31201, 0.0592711, 0.125701, 0.815028, 2, 1
0, 4, 2.13457, 0.527318, 0.765951, 0.15039, 0.0836586, 2, 0
3, 12, 2.83218, 0.710357, 0.845703, 0.104413, 0.0498846, 2, 0
15, 17, 1.77567, 0.569783, 0.678505, 0.190175, 0.13132, 1, 0
5, 6, 1.82997, 1.05174, 0.567078, 0.214087, 0.218835, 2, 0
10, 9, 1.00598, 1.25832, 0.31732, 0.244833, 0.437846, 3, 2
8, 2, 1.24782, 1.83388, 0.258741, 0.220807, 0.520452, 1, 3
11, 16, 1.66644, 1.13611, 0.507334, 0.226573, 0.266093, 0, 1
12, 13, 1.24074, 0.762062, 0.494429, 0.244826, 0.260745, 2, 3
7, 10, 1.03869, 1.08143, 0.364127, 0.251005, 0.384867, 1, 1
6, 11, 2.74479, 0.68774, 0.836697, 0.109712, 0.0535906, 3, 1
2, 5, 2.30751, 1.53947, 0.561505, 0.206491, 0.232004, 0, 2
16, 0, 0.483811, 3.47661, 0.0098061, 0.038096, 0.952098, 2, 1
4, 3, 1.01473, 1.59345, 0.253042, 0.227606, 0.519351, 3, 1
1, 8, 1.50711, 0.887027, 0.530133, 0.229527, 0.24034, 2, 0
9, 15, 1.89877, 0.563837, 0.707552, 0.177472, 0.114976, 5, 0
25, 27, 1.39602, 1.38709, 0.38351, 0.237087, 0.379403, 0, 0
29, 18, 1.68752, 1.5606, 0.413329, 0.230235, 0.356436, 3, 1
30, 21, 1.39447, 1.21392, 0.422535, 0.238871, 0.338594, 1, 1
19, 32, 2.09192, 1.21134, 0.589298, 0.204275, 0.206428, 3, 2
20,25,1.43694,1.17603,0.44183,0.237455,0.320715,1,1
11,1,0.662343,2.20966,0.096675,0.156223,0.747102,0,0
5,21,4.91015,0.375502,0.99884,0.00108784,7.21216e-05,5,0
16,14,2.38614,0.690597,0.774458,0.142356,0.0831857,1,1
22,25,1.85599,0.781785,0.640902,0.197849,0.161249,3,2
14,7,0.790656,1.86434,0.161745,0.197707,0.640548,3,0
21,24,1.28614,1.48783,0.335781,0.235742,0.428477,4,0
28,29,1.41679,2.17394,0.231799,0.208613,0.559588,1,2
8,12,2.02923,0.813001,0.671989,0.185091,0.14292,2,1
35,34,1.75502,1.29363,0.490828,0.225724,0.283449,1,3
22,33,2.27033,0.852295,0.713863,0.167103,0.119034,2,2
19,25,2.28517,0.999705,0.682276,0.177124,0.140601,2,2
5,1,1.343,0.61479,0.560569,0.233405,0.206026,3,2
10,17,2.87464,0.593968,0.873687,0.0892994,0.0370139,4,2
11,4,0.976918,1.38472,0.284461,0.238606,0.476933,0,0
2,6,2.12468,1.39942,0.552353,0.210612,0.237035,3,0
0,9,1.79636,1.05505,0.558301,0.216408,0.22529,6,0
13,7,1.346,1.63505,0.31892,0.231151,0.44993,1,4
3,16,1.24908,1.11063,0.41063,0.244402,0.344968,1,1
14,15,1.56646,0.626086,0.613627,0.213932,0.17244,0,0
27,26,1.10605,1.22052,0.350076,0.245389,0.404534,3,8
18,31,2.14555,0.947443,0.664593,0.184807,0.1506,5,1
23,32,1.77129,1.6176,0.419979,0.228486,0.351535,2,1
21,28,2.66047,0.95456,0.767278,0.141815,0.0909068,1,0
17,14,0.949065,1.66243,0.22629,0.221171,0.552539,1,2
21,31,2.60669,0.630413,0.826435,0.11617,0.0573948,3,2
1,5,0.949169,1.81588,0.200388,0.210427,0.589185,1,4
7,0,0.979774,2.93025,0.0692809,0.121037,0.809682,2,2
15,10,0.932673,1.20226,0.310978,0.247704,0.441318,1,1
