3,Chandler,3,707.577,1994.42,1982.07,1990.49,11,1.90909,2000
4,Da_Costa,3,1114.62,2086.12,2083.58,2076.82,8,1.875,2000
5,Dost,3,1995.58,1995.58,1995.58,1995.58,0,0,2000
6,Durm,3,1054.37,1974.99,1965.27,1957.98,7,1.28571,2000
7,Hasebe,3,901.305,2036.48,2035.13,2049.23,9,1.33333,2000
8,Hauge,3,1198.02,2000.9,1994.19,1980.03,5,3,2000
9,Hinteregger,3,441.451,2066.98,2067.05,2061.58,17,1,2000
10,Hrustic,3,1319.09,1987.19,1977.82,1987.19,4,2,2000
11,Ilsanker,3,1582.29,1961.37,1953.81,1948.61,3,1,2000
12,Jakic,3,876.491,2029.83,2049.56,2029.83,8,2,2000
13,Jovic,3,1809.68,2005.01,2004.9,2004.12,2,3,2000
14,Kamada,3,536.346,2061.74,2077.15,2090.16,15,2.73333,2000
15,Knauff,3,1974.03,1974.03,1974.03,1974.03,0,0,2000
16,Kostic,3,476.019,1998.32,1985.1,2005.94,16,2.25,2000
17,Lammers,3,1327.66,2004.85,2002.95,1997.44,4,3,2000
18,Lenz,3,1114.02,2076.61,2076.31,2063.3,8,1.625,2000
19,Lindstroem,3,522.78,2012.84,2025.18,2047.44,13,2.92308,2000
20,N'Dicka,3,388.495,1991.74,2009.57,2014.5,18,1,2000
21,Ramaj,3,2004.5,1801.94,1801.94,1801.94,1,0,2000
22,Rode,3,1054.5,1973.59,1975.77,1973.59,7,2,2000
23,Schubert,3,1991.79,1991.79,1991.79,1991.79,0,0,2000
24,Silva_Melo(Tuta),3,713.317,1994.1,2004.79,2007.61,11,1,2000
25,Sow,3,346.431,1993.69,1994.71,1993.69,19,2,2000
26,Toure,3,1639.69,2029.6,2039.37,2029.6,2,2,2000
27,Trapp,3,2014.42,353.201,353.201,353.201,19,0,2000
28,Zuber,3,1993.51,1993.51,1993.51,1993.51,0,0,2000
0,Adli,4,1193.42,2019.09,2035.16,2042.93,5,2.8,2000
1,Alario,4,2003.82,2003.82,2003.82,2003.82,0,0,2000
2,Andrich,4,648.912,2041.47,2051.21,2041.47,13,2,2000
3,Aranguiz,4,789.135,2023.32,2049.7,2023.32,10,2,2000
4,Arias,4,1986.9,1986.9,1986.9,1986.9,0,0,2000
5,Azmoun,4,2029.61,2029.61,2029.61,2029.61,0,0,2000
6,Bailey,4,1836.42,2032.23,2028.98,2023.03,3,3,2000
7,Bakker,4,643.481,2012.2,2011.73,2007.5,11,1,2000
8,Baumgartlinger,4,2022.96,2022.96,2022.96,2022.96,0,0,2000
9,Bellarabi,4,972.65,2016.35,2026.63,2039.56,8,3,2000
10,Demirbay,4,472.81,2027.81,2051.78,2027.81,15,2,2000
11,Diaby,4,394.509,2070.15,2103.75,2152.37,17,2.94118,2000
12,Dragovic,4,1629.26,2011.59,2006.45,2002.72,3,1,2000
13,Fosu-Mensah,4,1988.24,1988.24,1988.24,1988.24,0,0,2000
14,Frimpong,4,426.574,1992.75,2001.81,2001.88,16,1.0625,2000
15,Gray,4,1967.48,1967.48,1967.48,1967.48,0,0,2000
16,Grill,4,1994.63,1788.5,1788.5,1788.5,1,0,2000
17,Hincapie,4,872.971,2006.71,2008.5,2006.69,8,1,2000
18,Hradecky,4,2053.34,361.599,361.599,361.599,19,0,2000
19,Jedvaj,4,2010.01,2010.01,2010.01,2010.01,0,0,2000
20,Kossounou,4,717.223,2004.03,2008.03,2006.86,10,1,2000
21,L.Bender,4,2040.78,2040.78,2040.78,2040.78,0,0,2000
22,Palacios,4,1100.58,2063.57,2082.21,2063.57,8,2,2000
23,Paulinho,4,1186.22,1996.68,2009.91,2028.96,5,3,2000
24,S.Bender,4,2045.77,2045.77,2045.77,2045.77,1,1,2000
25,Schick,4,318.653,2043.59,2075.46,2117.73,20,3,2000
26,Sinkgraven,4,1652.51,2040.38,2036.45,2033.43,4,1.25,2000
27,Tah,4,316.961,2014.81,2018.46,2014.13,20,1,2000
28,Tapsoba,4,1224.5,2043.47,2049.03,2050.56,7,1,2000
29,Weiser,4,1982.67,1982.67,1982.67,1982.67,0,0,2000
30,Wendell,4,1816.49,2013.51,2012.88,2013.51,1,2,2000
31,Wirtz,4,426.388,2028.13,2046.73,2028.04,16,2.12501,2000
0,Akanji,5,491.145,1991.06,2031.36,2049.98,17,1,2000
1,Bellingham,5,362.698,2081.19,2071.09,2070.25,20,2.05,2000
2,Brandt,5,720.447,2041.29,2047.69,2057.16,10,2.4,2000
3,Burki,5,2026.18,1649.06,1649.06,1649.06,2,0,2000
4,Can,5,888.298,2028.94,2020.15,2026.41,11,1.72727,2000
5,Dahoud,5,402.7,2072.47,2048.6,2072.47,17,2,2000
6,Delaney,5,2055.99,2055.99,2055.99,2055.99,0,0,2000
7,Guerreiro,5,541.713,2002.81,2032.31,2052.14,16,1.0625,2000
8,Haaland,5,442.596,2083.82,2103.19,2126.27,17,3,2000
9,Hazard,5,1331.08,2016.61,2023.86,2032.99,6,2.83333,2000
10,Hitz,5,2031.1,1674.04,1674.04,1674.04,5,0,2000
11,Hummels,5,541.288,2052.45,2062.46,2063.29,15,1,2000
12,Kobel,5,1999.71,389.659,389.659,389.659,18,0,2000
13,Malen,5,642.597,2009.89,2016.07,2019.79,11,3,2000
14,Meunier,5,480.768,1987.98,2009.86,2025.19,14,1.07143,2000
15,Morey,5,2020.97,2020.97,2020.97,2020.97,0,0,2000
16,Moukoko,5,1794.83,1987.95,1984.27,1977.53,1,3,2000
17,Passlack,5,1626.41,1979.32,1989.63,1995.11,2,1,2000
18,Pisczek,5,1658.54,2020.13,2028.15,2031.88,5,1,2000
19,Pongracic,5,1468.34,1993.06,1998.99,2001.46,4,1,2000
20,Reus,5,323.84,2056.48,2063.6,2105.37,21,2.66667,2000
21,Reyna,5,1254.58,2084.18,2073.38,2097.36,8,2.5,2000
22,Schmelzer,5,1990.85,1990.85,1990.85,1990.85,0,0,2000
23,Schulz,5,1071.81,1973.45,1985.04,1989.83,6,1,2000
24,Witsel,5,802.193,1994.47,2021.12,2026.98,9,1.55556,2000
25,Wolf,5,1342.43,2019.58,2007.21,2009.79,6,2.16667,2000
26,Zagadou,5,1452.64,1982.45,1984.76,1985.06,3,1,2000
0,Awoniyi,6,586.377,2019.58,2023.59,2023.13,12,3,2000
1,Baumgartl,6,579.357,2020.54,2016,2008.94,12,1,2000
2,Becker,6,1095.68,2038.47,2027.67,2027.08,6,2.33333,2000
3,Behrens,6,1728.22,1919.8,1922.51,1926.46,1,3,2000
4,Bulter,6,2020.62,2020.62,2020.62,2020.62,0,0,2000
