9,Promel,6,2004.88,0,0
10,Endo,6,2000.19,0,0
11,Griesbeck,6,2017.5,0,0
12,Andrich,6,2006.42,0,0
13,Gentner,6,1988.41,0,0
14,Gogia,6,1986.02,0,0
15,Dajaku,6,1986.02,0,0
16,Ingvartsen,6,1971.26,0,0
17,Bulter,6,2000.3,0,0
18,Kruse,6,2019.12,0,0
19,Pohjanpalo,6,2012.01,0,0
20,Becker,6,2025.01,0,0
21,Teuchert,6,1986.72,0,0
22,Awoniyi,6,1995.3,0,0
23,Ujah,6,1986.02,0,0
24,Musa,6,2008.32,0,0
0,Uphoff,7,1966.03,0,0
1,Flekken,7,1966.03,0,0
2,Schlotterbeck,7,2032.78,0,0
3,Gulde,7,1997.1,0,0
4,Kubler,7,1973.78,0,0
5,Heintz,7,1956.06,0,0
6,Lienhart,7,2021.02,0,0
7,Gunter,7,1984.17,0,0
8,Keitel,7,1931.9,0,0
9,Haberer,7,1944.32,0,0
10,Santamaria,7,1961.83,0,0
11,Grifo,7,2026.55,0,0
12,Woo-Yeong,7,1959.04,0,0
13,Hofler,7,2012.58,0,0
14,Sallai,7,1940.9,0,0
15,Schmid,7,1981.43,0,0
16,Chang-Hoon,7,1974.45,0,0
17,Til,7,1971.22,0,0
18,Holer,7,1975.73,0,0
19,Demirovic,7,2008.5,0,0
20,Petersen,7,1970.97,0,0
21,Muller,7,2020.98,0,0
0,Grahl,8,1986.01,0,0
1,Kobel,8,2009.37,0,0
2,Aidonis,8,1986.01,0,0
3,Mavropanos,8,2018.76,0,0
4,Kempf,8,2009.53,0,0
5,Sosa,8,2022.37,0,0
6,Badstuber,8,1986.01,0,0
7,Stenzel,8,1986.78,0,0
8,Karazor,8,1988,0,0
9,Mack,8,1986.01,0,0
10,Anton,8,2000.09,0,0
11,Massimo,8,1964.74,0,0
12,Egloff,8,1986.01,0,0
13,Castro,8,2021.63,0,0
14,Klimovicz,8,1989.97,0,0
15,Didavi,8,1975.19,0,0
16,Churlinov,8,1986.01,0,0
17,Coulibaly,8,1979.32,0,0
18,Mangala,8,2018.21,0,0
19,Thommy,8,1986.01,0,0
20,Klement,8,1986.01,0,0
21,Forster,8,2002.43,0,0
22,Mola,8,1986.01,0,0
23,Endo,8,2000.95,0,0
24,Gonzalez,8,1967.31,0,0
25,Kalajdzic,8,2031.57,0,0
26,Wamangituka,8,2004.2,0,0
27,Al_Ghaddioui,8,1986.01,0,0
0,Sippel,9,1969.38,0,0
1,Sommer,9,1987.02,0,0
2,Doucoure,9,1967.67,0,0
3,Lainer,9,1987.44,0,0
4,Ginter,9,1991.73,0,0
5,Bensebaini,9,1988.98,0,0
6,Kurt,9,1963.09,0,0
7,Elvedi,9,1983.9,0,0
8,Lang,9,1963.09,0,0
9,Jantschke,9,1973.68,0,0
10,Wendt,9,1963.63,0,0
11,Neuhaus,9,1989.87,0,0
12,Wolf,9,1955.05,0,0
13,Stindl,9,1990.56,0,0
14,Lazaro,9,1938.76,0,0
15,Musel,9,1963.09,0,0
16,Kramer,9,1993.26,0,0
17,Hofman,9,1989.27,0,0
18,Zakaria,9,1980.85,0,0
19,Plea,9,2010.22,0,0
20,Villalba,9,1963.09,0,0
21,Herrmann,9,1987.93,0,0
22,Traore,9,1963.09,0,0
23,Embolo,9,1987.72,0,0
24,Thuram,9,1965.36,0,0
0,Pentke,10,1960.04,0,0
1,Baumann,10,2012.98,0,0
2,Bogarde,10,1939.15,0,0
3,Richards,10,2015.22,0,0
4,Akpoguma,10,1964.9,0,0
5,Brenet,10,1960.04,0,0
6,Stafylidis,10,1960.04,0,0
7,Bikakcic,10,1981.81,0,0
8,Hubner,10,1960.04,0,0
9,Posch,10,1985.2,0,0
10,Nordtveit,10,1987.77,0,0
11,Vogt,10,1949.91,0,0
12,Sessegnon,10,1956.54,0,0
13,Geiger,10,1971.93,0,0
14,Baumgartner,10,1991.89,0,0
15,Samassekou,10,1972.05,0,0
16,Gacinovic,10,1948.52,0,0
17,Grillitsch,10,1997.05,0,0
18,Rudy,10,1969.36,0,0
19,Bebou,10,1959.59,0,0
20,Belfodil,10,1933.93,0,0
21,Adamyan,10,1960.04,0,0
22,Beier,10,1960.04,0,0
23,Skov,10,1943.81,0,0
24,Dabour,10,1970.5,0,0
25,Kramaric,10,1982.64,0,0
26,Kaderabek,10,1994.34,0,0
27,Nuhu,10,2005.75,0,0
0,Zetterer,11,1976.02,0,0
1,Pavlenka,11,1990.24,0,0
2,Augustinsson,11,1962.62,0,0
3,Gross,11,1933.3,0,0
4,Toprak,11,1978.9,0,0
5,Veljkovic,11,2034.13,0,0
6,Moisander,11,1950.29,0,0
7,Friedl,11,1992.84,0,0
8,Agu,11,1997.78,0,0
9,Gebre_Selassie,11,1984.36,0,0
10,Erras,11,1976.02,0,0
11,Bittencourt,11,1975.23,0,0
12,Mbom,11,1993.12,0,0
13,M.Eggestein,11,1988.75,0,0
14,Rashica,11,1969,0,0
15,Mohwald,11,1979.1,0,0
16,Schmid,11,1996.41,0,0
17,Selke,11,1990.17,0,0
18,Woltemade,11,1976.02,0,0
19,Fullkrug,11,1989.38,0,0
20,Dinkci,11,1977.16,0,0
21,Osako,11,1951.22,0,0
22,Sargent,11,1995.78,0,0
0,Koubek,12,1968.03,0,0
1,Gikiewicz,12,1977.05,0,0
2,Gouweleeuw,12,1982.69,0,0
3,Iago,12,1990.31,0,0
4,Framberger,12,1989.87,0,0
5,Uduokhai,12,1982.86,0,0
6,Gumny,12,1966.2,0,0
7,Pedersen,12,1943.34,0,0
8,Suchy,12,1951.29,0,0
9,Moravek,12,1968.03,0,0
10,Vargas,12,1942.87,0,0
11,Bazee,12,1968.03,0,0
12,Caligiuri,12,1943.75,0,0
13,Oxford,12,1973.52,0,0
14,Khedira,12,1940.37,0,0
15,Benes,12,1962.39,0,0
